date,province,total_cases,new_cases,incidence,incidence_trend
2020-03-12,Cremona,1302,241.0,67.714128370253,45.236409409173156
2020-03-12,Mantova,169,32.0,7.863972928273195,9.935287226345151
2020-03-12,Lecco,199,86.0,25.674630777911457,12.410826505601715
2020-03-12,Lodi,1123,88.0,38.69628691537825,29.33630842448319
2020-03-12,Monza e della Brianza,130,45.0,5.171266604075187,4.399680793308414
2020-03-13,Varese,125,27.0,3.0512749809012787,2.5508013067851953
2020-03-13,Como,118,20.0,3.34648501945981,4.302623596448328
2020-03-13,Sondrio,23,0.0,0.0,3.087947109008492
2020-03-13,Milano,1307,161.0,4.930593475017969,6.461833684650879
2020-03-13,Bergamo,2368,232.0,20.936247322055433,32.42282143778905
2020-03-13,Brescia,1784,186.0,14.815558247845173,24.79500877269941
2020-03-13,Pavia,482,14.0,2.5907886360608168,13.3504924613338
2020-03-13,Cremona,1344,42.0,11.80080245456691,38.73392642400363
2020-03-13,Mantova,187,18.0,4.423484772153672,9.829966160341494
2020-03-13,Lecco,237,38.0,11.34460429721669,13.647644267328348
2020-03-13,Lodi,1133,10.0,4.3973053312929835,27.263293054016493
2020-03-13,Monza e della Brianza,143,13.0,1.4939214633994986,4.629514864600645
2020-03-14,Varese,158,33.0,3.7293360877682296,2.9705534205599746
2020-03-14,Como,154,36.0,6.023673035027659,5.019727529189716
2020-03-14,Sondrio,45,22.0,12.193432174033532,5.304934777014588
2020-03-14,Milano,1551,244.0,7.4724522230086,7.586201495724186
2020-03-14,Bergamo,2864,496.0,44.760252895428856,32.500172105235066
2020-03-14,Brescia,2122,338.0,26.922896170815424,28.561483258134704
2020-03-14,Pavia,622,140.0,25.90788636060817,14.804506491776097
2020-03-14,Cremona,1565,221.0,62.09469862998303,44.79488278672336
2020-03-14,Mantova,261,74.0,18.185437396631762,12.147029612421987
2020-03-14,Lecco,287,50.0,14.927110917390383,14.969759805725781
2020-03-14,Lodi,1276,143.0,62.88146623748967,28.58248465340439
2020-03-14,Monza e della Brianza,224,81.0,9.308279887335338,5.105599726563121
2020-03-15,Varese,184,26.0,2.9382647964234536,3.0674192929695394
2020-03-15,Como,184,30.0,5.019727529189716,4.995824064765002
2020-03-15,Sondrio,45,0.0,0.0,4.9090441220134995
2020-03-15,Milano,1750,199.0,6.094336034338981,7.520576915311347
2020-03-15,Bergamo,3416,552.0,49.81382983523534,32.10052699009731
2020-03-15,Brescia,2473,351.0,27.958392177385246,27.685294329498696
2020-03-15,Pavia,722,100.0,18.50563311472012,15.20105577280581
2020-03-15,Cremona,1792,227.0,63.780527552064015,44.39349494813266
2020-03-15,Mantova,339,78.0,19.168434012665912,13.235347294459794
2020-03-15,Lecco,344,57.0,17.016906445825036,15.055057582396584
2020-03-15,Lodi,1320,44.0,19.348143457689126,25.755645511858898
2020-03-15,Monza e della Brianza,327,103.0,11.836454671549873,5.187683323453204
2020-03-16,Varese,202,18.0,2.0341833206008526,3.422594158471276
2020-03-16,Como,220,36.0,6.023673035027659,5.736831461931104
2020-03-16,Sondrio,46,1.0,0.5542469170015242,10.451513292028741
2020-03-16,Milano,1983,233.0,7.135579376889359,9.32744036267818
2020-03-16,Bergamo,3760,344.0,31.043401201668402,32.34547077034303
2020-03-16,Brescia,2918,445.0,35.44582484027474,30.14317496047762
2020-03-16,Pavia,801,79.0,14.619450160628897,14.35508397327575
2020-03-16,Cremona,1881,89.0,25.00646234420131,39.496563317325986
2020-03-16,Mantova,382,43.0,10.567213622367106,16.39497927456956
2020-03-16,Lecco,386,42.0,12.538773170607922,14.11678203901776
2020-03-16,Lodi,1362,42.0,18.46868239143053,25.4415522739094
2020-03-16,Monza e della Brianza,346,19.0,2.1834236772761906,5.992102572976012
2020-03-17,Varese,234,32.0,3.6163259032904045,3.438738470539536
2020-03-17,Como,256,36.0,6.023673035027659,6.262707679274787
2020-03-17,Sondrio,74,28.0,15.518913676042676,11.084938340030483
2020-03-17,Milano,2326,343.0,10.50430783808176,10.924305152723928
2020-03-17,Bergamo,3993,233.0,21.02648976740912,35.91649325076751
2020-03-17,Brescia,3300,382.0,30.427651885359438,32.58967651446127
2020-03-17,Pavia,884,83.0,15.3596754852177,16.470013472100906
2020-03-17,Cremona,2073,192.0,53.94652550659159,42.06544548430654
2020-03-17,Mantova,465,83.0,20.397179782708598,18.817363792653715
2020-03-17,Lecco,440,54.0,16.121279790781614,18.722861979241078
2020-03-17,Lodi,1418,56.0,24.62490985524071,29.14785248171349
2020-03-17,Monza e della Brianza,376,30.0,3.447511069383459,11.048452141405084
2020-03-18,Varese,265,31.0,3.503315718812579,3.245006725720408
2020-03-18,Como,286,30.0,5.019727529189716,7.123232398564453
2020-03-18,Sondrio,75,1.0,0.5542469170015242,10.609869554029176
2020-03-18,Milano,2644,318.0,9.738687733265305,13.654287697898031
2020-03-18,Bergamo,4305,312.0,28.155642950350412,38.739792612547156
2020-03-18,Brescia,3784,484.0,38.55231285998421,33.06759774826273
